Código (sub),Carpeta (sub),Código (sub1),Carpeta (sub1),Código (sub2),Carpeta (sub2),Código (sub3),Carpeta (sub3),Código (sub4),Carpeta (sub4)
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,1,Imacec
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,2,Producto interno bruto
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,3,Producto interno bruto por clase de actividad económica
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,4,Gasto del producto interno bruto
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,5,Agregados macroeconómicos
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,6,Series de actividad económica mensual sectorial
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,7,Producto interno bruto regional
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,8,Empalmes con series referencia 2008
7,Cuentas Nacionales,5,Información histórica,2,Referencia 2008,1,PIB gasto e ingreso,9,Series historicas empalmadas
